hts10,cty_code,usmca_share
0304530020,1220,0
0304530020,2010,0
0304530025,1220,0
0304530025,2010,0
0304530030,1220,0
0304530030,2010,0
0304530090,1220,0
0304530090,2010,0
0304540000,1220,0
0304540000,2010,0
0304550000,1220,0
0304550000,2010,0
0304560000,1220,0
0304560000,2010,0
0304570000,1220,0
0304570000,2010,0.5103853156
0304590003,1220,0.5896563623
0304590003,2010,0
0304590006,1220,0.4585269505
0304590006,2010,0
0304590009,1220,0.398520826
0304590009,2010,0
0304590015,1220,0
0304590015,2010,0
0304590020,1220,0.4278833593
0304590020,2010,0
0304590025,1220,0.4826913855
0304590025,2010,0
0304590030,1220,0
0304590030,2010,0
0304590036,1220,0.4561249855
0304590036,2010,0
0304590040,1220,0
0304590040,2010,0
0304590045,1220,0
0304590045,2010,0
0304590050,1220,0
0304590050,2010,0
0304590055,1220,0
0304590055,2010,0
0304590061,1220,0
0304590061,2010,0
0304590065,1220,0
0304590065,2010,0
0304590070,1220,0
0304590070,2010,0
0304590091,1220,1
0304590091,2010,0.3266112352
0304610000,1220,0
0304610000,2010,0.1072967067
0304620010,1220,0
0304620010,2010,0
0304620020,1220,0
0304620020,2010,0
0304620030,1220,0
0304620030,2010,0
0304620090,1220,0
0304620090,2010,0
0304630000,1220,0
0304630000,2010,0
0304690000,1220,0
0304690000,2010,0
0304711000,1220,0
0304711000,2010,0
0304715000,1220,0.6103417785
0304715000,2010,0
0304721000,1220,0.9863123725
0304721000,2010,0
0304725000,1220,0.6780906855
0304725000,2010,0
0304731000,1220,0
0304731000,2010,0
0304735000,1220,0
0304735000,2010,0
0304741000,1220,0
0304741000,2010,0
0304745000,1220,0
0304745000,2010,0
0304751000,1220,0.07915036113
0304751000,2010,0
0304755000,1220,0.5543341709
0304755000,2010,0
0304791010,1220,0
0304791010,2010,0
0304791015,1220,0
0304791015,2010,0
0304791090,1220,0
0304791090,2010,0
0304795000,1220,0
0304795000,2010,0
0304811000,1220,0
0304811000,2010,0
0304815010,1220,0.5627124632
0304815010,2010,0
0304815090,1220,0.5537574353
0304815090,2010,0
0304821000,1220,1
0304821000,2010,0
0304825000,1220,0.1391239266
