State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,3132 Fabrics,Netherlands,2024,"3,605,526"
Alabama,3132 Fabrics,Pakistan,2024,"7,098,104"
Alabama,3132 Fabrics,Poland,2024,"62,581"
Alabama,3132 Fabrics,Portugal,2024,"223,313"
Alabama,3132 Fabrics,South Africa,2024,"128,646"
Alabama,3132 Fabrics,Spain,2024,"308,762"
Alabama,3132 Fabrics,Sweden,2024,"56,860"
Alabama,3132 Fabrics,Switzerland,2024,"12,018"
Alabama,3132 Fabrics,Taiwan,2024,"2,714,180"
Alabama,3132 Fabrics,Thailand,2024,"232,933"
Alabama,3132 Fabrics,Turkey,2024,"783,326"
Alabama,3132 Fabrics,United Kingdom,2024,"295,154"
Alabama,3132 Fabrics,Vietnam,2024,"410,803"
Alabama,3133 Finished & Coated Textile Fabrics,Australia,2024,300
Alabama,3133 Finished & Coated Textile Fabrics,Canada,2024,"631,148"
Alabama,3133 Finished & Coated Textile Fabrics,China,2024,"839,027"
Alabama,3133 Finished & Coated Textile Fabrics,Colombia,2024,"4,594,369"
Alabama,3133 Finished & Coated Textile Fabrics,Costa Rica,2024,"8,791,920"
Alabama,3133 Finished & Coated Textile Fabrics,Czech Republic,2024,"24,200"
Alabama,3133 Finished & Coated Textile Fabrics,France,2024,"213,326"
Alabama,3133 Finished & Coated Textile Fabrics,Germany,2024,"2,904,882"
Alabama,3133 Finished & Coated Textile Fabrics,India,2024,"7,680,309"
Alabama,3133 Finished & Coated Textile Fabrics,Indonesia,2024,"8,744"
Alabama,3133 Finished & Coated Textile Fabrics,Italy,2024,"61,957"
Alabama,3133 Finished & Coated Textile Fabrics,"Korea, South",2024,"1,122,183"
Alabama,3133 Finished & Coated Textile Fabrics,Mexico,2024,"240,288"
Alabama,3133 Finished & Coated Textile Fabrics,Norway,2024,"163,906"
Alabama,3133 Finished & Coated Textile Fabrics,Pakistan,2024,"30,994"
Alabama,3133 Finished & Coated Textile Fabrics,Spain,2024,376
Alabama,3133 Finished & Coated Textile Fabrics,Switzerland,2024,"2,285"
Alabama,3133 Finished & Coated Textile Fabrics,Taiwan,2024,"105,224"
Alabama,3133 Finished & Coated Textile Fabrics,United Kingdom,2024,"128,109"
Alabama,3133 Finished & Coated Textile Fabrics,Vietnam,2024,"1,488,387"
Alabama,3141 Textile Furnishings,Afghanistan,2024,"15,718"
Alabama,3141 Textile Furnishings,Australia,2024,"10,604"
Alabama,3141 Textile Furnishings,Bangladesh,2024,"191,904"
Alabama,3141 Textile Furnishings,Belgium,2024,"14,243"
Alabama,3141 Textile Furnishings,Cambodia,2024,"142,437"
Alabama,3141 Textile Furnishings,Canada,2024,"235,781"
Alabama,3141 Textile Furnishings,China,2024,"85,001,426"
Alabama,3141 Textile Furnishings,Colombia,2024,"1,487,112"
Alabama,3141 Textile Furnishings,Czech Republic,2024,"245,674"
Alabama,3141 Textile Furnishings,Egypt,2024,"281,260"
Alabama,3141 Textile Furnishings,France,2024,"95,487"
Alabama,3141 Textile Furnishings,Germany,2024,"1,749,610"
Alabama,3141 Textile Furnishings,Guatemala,2024,361
Alabama,3141 Textile Furnishings,Hong Kong,2024,"5,714"
Alabama,3141 Textile Furnishings,India,2024,"57,660,780"
Alabama,3141 Textile Furnishings,Indonesia,2024,"8,859"
Alabama,3141 Textile Furnishings,Ireland,2024,"5,506"
Alabama,3141 Textile Furnishings,Israel,2024,"9,505"
Alabama,3141 Textile Furnishings,Italy,2024,"66,849"
Alabama,3141 Textile Furnishings,Japan,2024,"15,436"
Alabama,3141 Textile Furnishings,"Korea, South",2024,"711,000"
Alabama,3141 Textile Furnishings,Latvia,2024,917
Alabama,3141 Textile Furnishings,Lithuania,2024,"5,957"
Alabama,3141 Textile Furnishings,Malaysia,2024,"6,016"
Alabama,3141 Textile Furnishings,Mauritius,2024,330
Alabama,3141 Textile Furnishings,Mexico,2024,"7,540,675"
Alabama,3141 Textile Furnishings,Morocco,2024,"43,517"
Alabama,3141 Textile Furnishings,Netherlands,2024,"7,209"
Alabama,3141 Textile Furnishings,New Zealand,2024,"18,739"
Alabama,3141 Textile Furnishings,Pakistan,2024,"20,869,122"
Alabama,3141 Textile Furnishings,Peru,2024,"1,833"
Alabama,3141 Textile Furnishings,Poland,2024,"2,446"
Alabama,3141 Textile Furnishings,Portugal,2024,"4,103"
Alabama,3141 Textile Furnishings,South Africa,2024,480
Alabama,3141 Textile Furnishings,Spain,2024,"19,141"
Alabama,3141 Textile Furnishings,Switzerland,2024,"10,129"
Alabama,3141 Textile Furnishings,Taiwan,2024,"9,825"
Alabama,3141 Textile Furnishings,Thailand,2024,"21,988"
Alabama,3141 Textile Furnishings,Turkey,2024,"240,467"
Alabama,3141 Textile Furnishings,United Kingdom,2024,"43,833"
Alabama,3141 Textile Furnishings,Vietnam,2024,"1,290,608"
Alabama,3149 Other Textile Products,Australia,2024,"4,097"
Alabama,3149 Other Textile Products,Bangladesh,2024,"6,086,683"
Alabama,3149 Other Textile Products,Bulgaria,2024,"31,500"
Alabama,3149 Other Textile Products,Cambodia,2024,"5,382,776"
Alabama,3149 Other Textile Products,Canada,2024,"2,054,441"
Alabama,3149 Other Textile Products,China,2024,"39,610,801"
Alabama,3149 Other Textile Products,Czech Republic,2024,"23,141"
Alabama,3149 Other Textile Products,Denmark,2024,"64,367"
Alabama,3149 Other Textile Products,France,2024,"79,539"
Alabama,3149 Other Textile Products,Germany,2024,"641,728"
Alabama,3149 Other Textile Products,Guatemala,2024,"156,777"
Alabama,3149 Other Textile Products,Honduras,2024,"36,957"
Alabama,3149 Other Textile Products,India,2024,"14,548,255"
Alabama,3149 Other Textile Products,Indonesia,2024,"86,418"
Alabama,3149 Other Textile Products,Israel,2024,"62,465"
Alabama,3149 Other Textile Products,Italy,2024,"32,089"
Alabama,3149 Other Textile Products,Japan,2024,"81,280"
Alabama,3149 Other Textile Products,"Korea, South",2024,"1,942,413"
Alabama,3149 Other Textile Products,Malaysia,2024,"9,137"
Alabama,3149 Other Textile Products,Mexico,2024,"3,498,488"
Alabama,3149 Other Textile Products,Morocco,2024,"13,823"
